Name,X,Y,Name,X,Y,Name,X,Y,Name,X,Y
Film T1 S-SWCNTs,492.021484375,0.0140329425862908,Film T1 S-SWCNTs Converted,492.345703125,0.0134989767047919,Film T2 S-SWCNTs,492.021484375,0.0100039740628905,Film T2 S-SWCNTs Converted,492.958984375,0.0236578935966755
Film T1 S-SWCNTs,491.60546875,0.0154705762210692,Film T1 S-SWCNTs Converted,491.927734375,0.0187789877639093,Film T2 S-SWCNTs,491.60546875,0.00963416223943109,Film T2 S-SWCNTs Converted,492.5390625,0.0226354833392681
Film T1 S-SWCNTs,491.185546875,0.0131970820820051,Film T1 S-SWCNTs Converted,491.505859375,0.0207665503122281,Film T2 S-SWCNTs,491.185546875,0.00748119168147246,Film T2 S-SWCNTs Converted,492.12109375,0.0307687562193923
Film T1 S-SWCNTs,490.765625,0.0147573564166643,Film T1 S-SWCNTs Converted,491.08984375,0.0152834186704146,Film T2 S-SWCNTs,490.765625,0.0113642269409656,Film T2 S-SWCNTs Converted,491.701171875,0.0208433021566264
Film T1 S-SWCNTs,490.345703125,0.0133953893274991,Film T1 S-SWCNTs Converted,490.669921875,0.0153159148283219,Film T2 S-SWCNTs,490.345703125,0.0107989070198465,Film T2 S-SWCNTs Converted,491.283203125,0.0195263155313109
Film T1 S-SWCNTs,489.9296875,0.0116319189904328,Film T1 S-SWCNTs Converted,490.25390625,0.0104152205269413,Film T2 S-SWCNTs,489.9296875,0.00574894425148268,Film T2 S-SWCNTs Converted,490.865234375,0.0323313481370952
Film T1 S-SWCNTs,489.51171875,0.0140667998729037,Film T1 S-SWCNTs Converted,489.83203125,0.0145825887949431,Film T2 S-SWCNTs,489.51171875,0.0105605136063638,Film T2 S-SWCNTs Converted,490.4453125,0.0266398542173168
Film T1 S-SWCNTs,489.091796875,0.016028860412424,Film T1 S-SWCNTs Converted,489.4140625,0.0157718822637933,Film T2 S-SWCNTs,489.091796875,0.00872369267721626,Film T2 S-SWCNTs Converted,490.025390625,0.0271143593558226
Film T1 S-SWCNTs,488.671875,0.0122389780689511,Film T1 S-SWCNTs Converted,488.99609375,0.0164726592050445,Film T2 S-SWCNTs,488.671875,0.00889405504109843,Film T2 S-SWCNTs Converted,489.607421875,0.0179497602119043
Film T1 S-SWCNTs,488.251953125,0.018395819699884,Film T1 S-SWCNTs Converted,488.576171875,0.0119337714310079,Film T2 S-SWCNTs,488.251953125,0.0100919005668931,Film T2 S-SWCNTs Converted,489.189453125,0.020364919195588
Film T1 S-SWCNTs,487.833984375,0.0145726376117397,Film T1 S-SWCNTs Converted,488.158203125,0.0265773333163021,Film T2 S-SWCNTs,487.833984375,0.00937205439248805,Film T2 S-SWCNTs Converted,488.771484375,0.0224322772126991
Film T1 S-SWCNTs,487.416015625,0.0164991144486931,Film T1 S-SWCNTs Converted,487.740234375,0.0203524118178383,Film T2 S-SWCNTs,487.416015625,0.00983610472969413,Film T2 S-SWCNTs Converted,488.3515625,0.029018537189148
Film T1 S-SWCNTs,486.998046875,0.0130627318235721,Film T1 S-SWCNTs Converted,487.3203125,0.01200060493236,Film T2 S-SWCNTs,486.998046875,0.00994809847422662,Film T2 S-SWCNTs Converted,487.93359375,0.0280068246023823
