Atom_number     X(nm)     Y(nm)     Z(nm)     
57     0.8355007329     0.6913991516     1.3387848025  
58     0.9087666304     0.5807752874     1.1281609840  
59     0.9297911684     0.4701514231     0.9061514043  
60     0.8973657303     0.3595275589     0.6855185064  
61     0.8133543249     0.2489036946     0.4789455933  
62     0.6825864319     0.1382798303     0.2983077157  
63     0.5125793745     0.0276559661     0.1539890228  
64     0.2058545422     1.2629557837     1.8371326223  
65     0.4158417252     1.1523319194     1.7620615383  
66     0.6019238303     1.0417080551     1.6391642852  
67     0.7534037415     0.9310841909     1.4755057346  
68     0.8615734843     0.8204603266     1.2804939621  
69     0.9202148130     0.7098364623     1.0653394148  
70     0.9259566719     0.5992125981     0.8424104670  
71     0.8784689846     0.4885887338     0.6245224127  
72     0.7804816283     0.3779648696     0.4242007647  
73     0.6376275042     0.2673410053     0.2529612134  
74     0.4581187248     0.1567171410     0.1206476359  
75     0.2522745319     0.0460932768     0.0348662107  
76     0.1273362597     1.3827983033     1.8514412690  
77     0.3429862277     1.2721744390     1.7946488756  
78     0.5389192891     1.1615505748     1.6881569975  
79     0.7038720357     1.0509267105     1.5380874267  
80     0.8283619937     0.9403028462     1.3530670629  
81     0.9052327332     0.8296789820     1.1437319868  
82     0.9300652629     0.7190551177     0.9221160349  
83     0.9014320598     0.6084312534     0.7009590220  
84     0.8209791324     0.4978073892     0.4929743804  
85     0.6933313978     0.3871835249     0.3101183154  
86     0.5258268136     0.2765596607     0.1629024910  
87     0.3280945487     0.1659357964     0.0597897562  
88     0.1115014402     0.0553119321     0.0067076498  
89     0.1902537799     1.5118594782     1.8405327359  
90     0.4014987157     1.4012356140     1.7690774230  
91     0.5896630960     1.2906117497     1.6493926258  
92     0.7439301029     1.1799878855     1.4883585448  
93     0.8554315431     1.0693640212     1.2952323852  
94     0.9177576447     0.9587401569     1.0811161978  
95     0.9273255293     0.8481162927     0.8583186658  
96     0.8835851776     0.7374924284     0.6396475285  
97     0.7890510475     0.6268685642     0.4376733150  
98     0.6491575279     0.5162446999     0.2640067153  
99     0.4719465381     0.4056208356     0.1286311276  
100     0.2676052290     0.2949969714     0.0393287532  
101     0.0478803654     0.1843731071     0.0012332284  
102    -0.1745969488     0.0737492428     0.0165345126  
103     0.1115014402     1.6317019979     1.8534914034  
104     0.3280945487     1.5210781336     1.8004092970  
105     0.5258268136     1.4104542693     1.6972965622  
106     0.6933313978     1.2998304051     1.5500807378  
107     0.8209791324     1.1892065408     1.3672246728  
108     0.9014320598     1.0785826766     1.1592400312  
109     0.9300652629     0.9679588123     0.9380830183  
110     0.9052327332     0.8573349480     0.7164670664  
111     0.8283619937     0.7467110838     0.5071319903  
112     0.7038720357     0.6360872195     0.3221116265  
113     0.5389192891     0.5254633552     0.1720420557  
114     0.3429862277     0.4148394910     0.0655501775  
115     0.1273362597     0.3042156267     0.0087577842  
116    -0.0956337608     0.1935917625     0.0049296432  
117    -0.3131061787     0.0829678982     0.0542858191  
118     0.1745969488     1.7607631728     1.8436645406  
119     0.3870373827     1.6501393086     1.7758460570  
120     0.5772285852     1.5395154443     1.6594089875  
121     0.7342372247     1.4288915801     1.5010468335  
122     0.8490375022     1.3182677158     1.3098632020  
123     0.9150300090     1.2076438515     1.0968484755  
124     0.9284210997     1.0970199873     0.8742480187  
125     0.8884409741     0.9863961230     0.6548582418  
126     0.7973879297     0.8757722587     0.4512909856  
127     0.6604962419     0.7651483945     0.2752485178  
128     0.4856352665     0.6545245302     0.1368508157  
129     0.2828570616     0.5439006660     0.0440538099  
130     0.0638185353     0.4332768017     0.0021920291  
131    -0.1588886633     0.3226529374     0.0136719397  
132    -0.3724619881     0.2120290732     0.0778336075  
133    -0.5646239626     0.1014052089     0.1909886349  
134     0.0956337608     1.8806056925     1.8552694100  
135     0.3131061787     1.7699818282     1.8059132341  
136     0.5125793745     1.6593579639     1.7062100304  
137     0.6825864319     1.5487340997     1.5618913375  
138     0.8133543249     1.4381102354     1.3812534599  
139     0.8973657303     1.3274863711     1.1746805468  
140     0.9297911684     1.2168625069     0.9540476489  
141     0.9087666304     1.1062386426     0.7320380692  
142     0.8355007329     0.9956147784     0.5214142507  
143     0.7142052393     0.8849909141     0.3342841143  
144     0.5518529427     0.7743670498     0.1814050234  
145     0.3577768271     0.6637431856     0.0715653856  
146     0.1431335525     0.5531193213     0.0110794422  
147    -0.0797378976     0.4424954570     0.0034242884  
148    -0.2980255349     0.3318715928     0.0490399884  
149    -0.4991808760     0.2212477285     0.1453042778  
150    -0.6716403046     0.1106238643     0.2866833079  
