Atom_number     X(nm)     Y(nm)     Z(nm)     
96     0.5779616491     1.1304785824     1.0887674195  
97     0.6744667515     1.0444639076     0.8766730492  
98     0.6957587604     0.9584492329     0.6446301500  
99     0.6394632994     0.8724345581     0.4185149631  
100     0.5118581513     0.7864198834     0.2235427012  
101     0.3271731918     0.7004052087     0.0814556771  
102     0.1060035460     0.6143905339     0.0080987113  
103    -0.1269870749     0.5283758592     0.0116521985  
104    -0.3458167446     0.4423611844     0.0917198721  
105    -0.5260826940     0.3563465097     0.2393729932  
106    -0.6476825834     0.2703318349     0.4381460387  
107    -0.6970562131     0.1843171602     0.6658728517  
108    -0.6686976877     0.0983024854     0.8971584992  
109    -0.5657694053     0.0122878107     1.1062111848  
110     0.0283696617     1.5236885241     1.3949958219  
111     0.2563445213     1.4376738493     1.3467804705  
112     0.4557331467     1.3516591746     1.2261926074  
113     0.6043007350     1.2656444998     1.0466795761  
114     0.6854797863     1.1796298251     0.8282597548  
115     0.6902176264     1.0936151504     0.5952902084  
116     0.6179859157     1.0076004756     0.3737505130  
117     0.4768395664     0.9215858009     0.1883456458  
118     0.2825184996     0.8355711261     0.0597510126  
119     0.0566924100     0.7495564514     0.0023068312  
120    -0.1754557280     0.6635417766     0.0224189838  
121    -0.3880379378     0.5775271019     0.1178446658  
122    -0.5573481351     0.4915124271     0.2779424915  
123    -0.6645057098     0.4054977524     0.4848591677  
124    -0.6975609955     0.3194830776     0.7155204015  
125    -0.6528278353     0.2334684029     0.9442040281  
126    -0.5352946432     0.1474537281     1.1454084153  
127    -0.3580681215     0.0614390534     1.2966962757  
128     0.1685803405     1.5482641454     1.3749027010  
129     0.3821217364     1.4622494707     1.2816432299  
130     0.5530508643     1.3762347960     1.1232750200  
131     0.6623065794     1.2902201212     0.9174584867  
132     0.6977052414     1.2042054465     0.6871452404  
133     0.6552993719     1.1181907717     0.4580186402  
134     0.5398178573     1.0321760970     0.2556297164  
135     0.3641386073     0.9461614222     0.1025478500  
136     0.1478524763     0.8601467475     0.0158439502  
137    -0.0849214091     0.7741320727     0.0051867941  
138    -0.3082252919     0.6881173980     0.0717648132  
139    -0.4971574615     0.6021027232     0.2081535662  
140    -0.6306491656     0.5160880485     0.3991436749  
141    -0.6938140900     0.4300733737     0.6234368960  
142    -0.6796084042     0.3440586990     0.8560211930  
143    -0.5896162540     0.2580440242     1.0709599507  
144    -0.4338731051     0.1720293495     1.2442842949  
145    -0.2297466395     0.0860146747     1.3566659781  
146    -0.0000000000     0.0000000000     1.3955727682  
147     0.2163024543     1.6834300629     1.3612011006  
148     0.4226717256     1.5974153882     1.2529930576  
149     0.5819068008     1.5114007134     1.0828711968  
150     0.6762505963     1.4253860387     0.8698066410  
151     0.6951823730     1.3393713639     0.6375592632  
152     0.6365909556     1.2533566892     0.4120281068  
153     0.5070101603     1.1673420144     0.2183632566  
154     0.3208901768     1.0813273397     0.0781612294  
