Atom_number     X(nm)     Y(nm)     Z(nm)     
99    -0.2511064191     0.9510040039     0.0952321033  
100    -0.3660501453     0.8377892415     0.2817176547  
101    -0.3584889108     0.7245744791     0.5006508609  
102    -0.2309532127     0.6113597168     0.6787619688  
103    -0.0261250600     0.4981449544     0.7564430407  
104     0.1874462922     1.7586026421     0.7076967733  
105     0.3382855271     1.6453878797     0.5488369411  
106     0.3759117073     1.5321731174     0.3330287123  
107     0.2877325859     1.4189583550     0.1324960126  
108     0.1032588187     1.3057435926     0.0143505502  
109    -0.1157722835     1.1925288303     0.0181317307  
110    -0.2960582050     1.0793140679     0.1425741172  
111    -0.3772631695     0.9660993055     0.3460309304  
112    -0.3322105424     0.8528845432     0.5604118574  
113    -0.1759779585     0.7396697808     0.7139706434  
114     0.1157722835     1.8793650553     0.7392135839  
115     0.2960582050     1.7661502929     0.6147711973  
116     0.3772631695     1.6529355305     0.4113143842  
117     0.3322105424     1.5397207682     0.1969334572  
118     0.1759779585     1.4265060058     0.0433746711  
119    -0.0391486682     1.3132912434     0.0020291081  
120    -0.2411735214     1.2000764811     0.0867337699  
121    -0.3624855185     1.0868617187     0.2691407885  
122    -0.3624855185     0.9736469563     0.4882045260  
123    -0.2411735214     0.8604321940     0.6706115446  
124    -0.0391486682     0.7472174316     0.7553162065  
125     0.3322105424     1.8944603569     0.5604118574  
126     0.3772631695     1.7812455946     0.3460309304  
127     0.2960582050     1.6680308322     0.1425741172  
128     0.1157722835     1.5548160698     0.0181317307  
129    -0.1032588187     1.4416013075     0.0143505502  
130    -0.2877325859     1.3283865451     0.1324960126  
131    -0.3759117073     1.2151717827     0.3330287123  
132    -0.3382855271     1.1019570204     0.5488369411  
133    -0.1874462922     0.9887422580     0.7076967733  
134     0.3759117073     1.9020080077     0.4243166023  
135     0.3382855271     1.7887932454     0.2085083734  
136     0.1874462922     1.6755784830     0.0496485413  
137    -0.0261250600     1.5623637207     0.0009022738  
138    -0.2309532127     1.4491489583     0.0785833457  
139    -0.3584889108     1.3359341959     0.2566944536  
140    -0.3660501453     1.2227194336     0.4756276599  
141    -0.2511064191     1.1095046712     0.6621132113  
142    -0.0521256222     0.9962899088     0.7537405190  
143     0.3040310059     1.9171033094     0.1529335849  
144     0.1281477802     1.8038885470     0.0223425746  
145    -0.0906222985     1.6906737847     0.0110035392  
146    -0.2790640705     1.5774590223     0.1227112814  
147    -0.3741122640     1.4642442599     0.3200808889  
148    -0.3439573706     1.3510294976     0.5370592368  
149    -0.1986912427     1.2378147352     0.7010307989  
150     0.0130703181     1.1245999728     0.7571196789  
151     0.1986912427     1.9246509602     0.0563145157  
152    -0.0130703181     1.8114361979     0.0002256357  
153    -0.2204576726     1.6982214355     0.0707905436  
154    -0.3540650852     1.5850066731     0.2443934824  
155    -0.3691785432     1.4717919108     0.4629352506  
156    -0.2607400685     1.3585771484     0.6532770965  
157    -0.0650404570     1.2453623860     0.7517178560  
158    -0.0778777820     1.9397462619     0.0080946865  
159    -0.2700629891     1.8265314995     0.1132315841  
160    -0.3718669840     1.7133167371     0.3072028905  
161    -0.3492193135     1.6001019748     0.5250927803  
162    -0.2096994090     1.4868872124     0.6939806642  
163    -0.0000000000     1.3736724500     0.7573453146  
164    -0.2096994090     1.9472939127     0.0633646504  
165    -0.3492193135     1.8340791503     0.2322525342  
166    -0.3718669840     1.7208643880     0.4501424241  
167    -0.2700629891     1.6076496256     0.6441137304  
