Surfactant Example
Wavelength(nm), Absorption(a.u.)
1060,0.22382
1061,0.22354
1062,0.22315
1063,0.22266
1064,0.22195
1065,0.22117
1066,0.22037
1067,0.21952
1068,0.21853
1069,0.21767
1070,0.21702
1071,0.2163
1072,0.21573
1073,0.21541
1074,0.21521
1075,0.21515
1076,0.21532
1077,0.21568
1078,0.21621
1079,0.21681
1080,0.21771
1081,0.21887
1082,0.22013
1083,0.2216
1084,0.22341
1085,0.2252
1086,0.22748
1087,0.23002
1088,0.23275
1089,0.23583
1090,0.2394
1091,0.2431
1092,0.24739
1093,0.25224
1094,0.25749
1095,0.26314
1096,0.26932
1097,0.27614
1098,0.28331
1099,0.29112
1100,0.30001
1101,0.30858
1102,0.31824
1103,0.32829
1104,0.33821
1105,0.34894
1106,0.36012
1107,0.37116
1108,0.38162
1109,0.39225
1110,0.40203
1111,0.41115
1112,0.42014
1113,0.42806
1114,0.43505
1115,0.44146
1116,0.44717
1117,0.45179
1118,0.456
1119,0.45945
1120,0.46183
1121,0.46357
1122,0.46446
1123,0.46447
1124,0.46345
1125,0.46146
1126,0.45872
1127,0.45521
1128,0.45078
1129,0.4461
1130,0.44104
1131,0.43544
1132,0.43008
1133,0.42457
1134,0.41908
1135,0.41355
1136,0.40841
1137,0.40326
1138,0.39812
1139,0.3935
1140,0.38862
1141,0.38387
1142,0.37941
1143,0.37469
1144,0.37014
1145,0.36578
1146,0.36153
1147,0.35743
1148,0.35384
1149,0.35036
1150,0.34708
1151,0.34448
1152,0.34204
1153,0.34
1154,0.33849
1155,0.33734
1156,0.33656
1157,0.33627
1158,0.33633
1159,0.33683
1160,0.33761
1161,0.33885
1162,0.34047
1163,0.34237
1164,0.34459
1165,0.34708
1166,0.34987
1167,0.35288
1168,0.35609
1169,0.35964
1170,0.36309
1171,0.3668
1172,0.37039
1173,0.37399
1174,0.37762
1175,0.38124
1176,0.38466
1177,0.38774
1178,0.3907
1179,0.39321
1180,0.39543
1181,0.3971
1182,0.39826
1183,0.39881
1184,0.39869
1185,0.3979
1186,0.39641
1187,0.39414
1188,0.39106
1189,0.38752
1190,0.38308
1191,0.37818
1192,0.37289
1193,0.36695
1194,0.36067
1195,0.35424
1196,0.34794
1197,0.34119
1198,0.33515
1199,0.32895
1200,0.32251
1201,0.31653
