Surfactant Film	
Wavelength(nm),Absorption
1098,0.0070074
1099,0.007059
1100,0.0070429
1101,0.0070288
1102,0.0070911
1103,0.0071685
1104,0.0071752
1105,0.0071559
1106,0.0072019
1107,0.0072842
1108,0.0073596
1109,0.0073339
1110,0.0074166
1111,0.0074493
1112,0.0074885
1113,0.0075283
1114,0.0076144
1115,0.0076892
1116,0.0077415
1117,0.0078137
1118,0.0078656
1119,0.0079318
1120,0.0079676
1121,0.008087
1122,0.0081663
1123,0.0082259
1124,0.0083189
1125,0.008428
1126,0.0084965
1127,0.0085569
1128,0.0086415
1129,0.0086824
1130,0.0087769
1131,0.0088135
1132,0.0089157
1133,0.0089906
1134,0.0090794
1135,0.0091762
1136,0.0092648
1137,0.0093002
1138,0.0093297
1139,0.0094162
1140,0.0094861
1141,0.0095341
1142,0.0096058
1143,0.0097017
1144,0.0097958
1145,0.0097993
1146,0.0098369
1147,0.0099316
1148,0.0099778
1149,0.0099708
1150,0.010009
1151,0.010091
1152,0.01015
1153,0.010113
1154,0.010157
1155,0.010163
1156,0.010169
1157,0.01019
1158,0.010194
1159,0.010201
1160,0.010238
1161,0.010262
1162,0.010203
1163,0.010171
1164,0.010227
1165,0.01026
1166,0.0102
1167,0.010195
1168,0.010212
1169,0.010231
1170,0.010202
1171,0.010166
1172,0.010199
1173,0.01022
1174,0.010149
1175,0.010133
1176,0.010107
1177,0.010131
1178,0.010085
1179,0.01006
1180,0.010056
1181,0.010005
1182,0.0099326
1183,0.0099149
1184,0.0099329
1185,0.0099294
1186,0.009944
1187,0.0099162
1188,0.0099291
1189,0.0098927
1190,0.00987
1191,0.0098551
1192,0.0098253
1193,0.0097882
1194,0.0097547
1195,0.0097225
1196,0.0097324
1197,0.0097324
1198,0.0097324
1199,0.0097324
1200,0.0097324
1201,0.0096926
1202,0.0096766
1203,0.0096626
1204,0.00964
1205,0.0096037
1206,0.0095435
1207,0.0095481
1208,0.0095325
1209,0.0094818
1210,0.0094806
1211,0.009481
1212,0.0094527
1213,0.009371
1214,0.0093382
1215,0.0093595
1216,0.0093249
1217,0.0092518
1218,0.0092298
1219,0.0091916
1220,0.0092175
1221,0.0091745
1222,0.0090981
1223,0.0090613
1224,0.0090403
1225,0.0089933
1226,0.0089602
1227,0.0089811
1228,0.0089677
1229,0.0088447
1230,0.0087843
1231,0.0087936
1232,0.0087478
1233,0.0086725
1234,0.0086171
1235,0.0086223
1236,0.0086355
1237,0.0085848
1238,0.0085242
1239,0.0085582
1240,0.0085085
1241,0.008347
1242,0.0083302
1243,0.0083921
1244,0.0083906
1245,0.0083167
1246,0.008258
1247,0.0082764
1248,0.0082944
1249,0.0082311
1250,0.0081802
1251,0.0082087
1252,0.0081987
1253,0.0081022
1254,0.0081263
1255,0.0081627
1256,0.0081788
1257,0.008136
1258,0.0081046
1259,0.0081128
1260,0.0081176
1261,0.0081233
1262,0.0080936
1263,0.0080914
1264,0.0081045
1265,0.0081374
1266,0.0081376
1267,0.0081263
1268,0.0081156
1269,0.0081059
1270,0.008089
1271,0.0080979
1272,0.0081767
1273,0.0081862
1274,0.0081223
1275,0.0081405
1276,0.0081748
1277,0.0082255
1278,0.0081569
1279,0.0081071
1280,0.0081308
1281,0.0081718
1282,0.0082076
1283,0.0082575
1284,0.0082867
1285,0.0082451
1286,0.0081719
1287,0.0081819
1288,0.0082487
1289,0.0082392
1290,0.0082121
1291,0.0082184
1292,0.0082368
1293,0.008241
1294,0.0082367
1295,0.008221
1296,0.0081672
1297,0.0081985
1298,0.0081561
1299,0.0081793
1300,0.0081852
1301,0.0081711
1302,0.0081227
1303,0.0080752
1304,0.0080928
1305,0.0081368
1306,0.0081201
1307,0.008029
1308,0.0080245
1309,0.0080657
1310,0.008075
1311,0.0080044
1312,0.0079914
1313,0.0079848
1314,0.007933
1315,0.0078923
1316,0.0078636
1317,0.007865
1318,0.0077872
1319,0.0077396
1320,0.0077001
1321,0.0077141
1322,0.0076854
1323,0.0076416
1324,0.0075789
1325,0.0075267
1326,0.0075133
1327,0.0074698
1328,0.0074343
1329,0.0073948
1330,0.007404
1331,0.0073215
1332,0.0073101
1333,0.0072788
1334,0.007229
1335,0.0071456
1336,0.0070776
1337,0.0070786
1338,0.0070698
1339,0.0070467
1340,0.0069572
1341,0.0070033
1342,0.0069773
1343,0.0068856
1344,0.0068052
1345,0.0068171
1346,0.0067794
