SurfactantFilm,,SurfactantSolution,
Wavelength(nm),Absorption,Wavelength(nm),Absorption
581,0.0080602,581,0.26001
582,0.0081009,582,0.26092
583,0.0081463,583,0.26176
584,0.0081414,584,0.26263
585,0.0081197,585,0.26349
586,0.0082119,586,0.26429
587,0.0082661,587,0.26472
588,0.0082124,588,0.26504
589,0.0082282,589,0.26491
590,0.0083563,590,0.26466
591,0.008363,591,0.26389
592,0.0081873,592,0.26294
593,0.0083308,593,0.26179
594,0.0083228,594,0.2605
595,0.008295,595,0.25901
596,0.0083153,596,0.25761
597,0.0083761,597,0.25639
598,0.0084389,598,0.25515
599,0.0084667,599,0.25411
600,0.0084656,600,0.25322
601,0.0084747,601,0.25228
602,0.0084583,602,0.2515
603,0.0084553,603,0.2509
604,0.0084399,604,0.25023
605,0.0084701,605,0.24979
606,0.0083678,606,0.24943
607,0.0083361,607,0.24903
608,0.0083918,608,0.24875
609,0.0083942,609,0.24852
610,0.0083629,610,0.24818
611,0.0083773,611,0.24803
612,0.0083327,612,0.2479
613,0.0082952,613,0.24756
614,0.0082437,614,0.2475
615,0.0082013,615,0.2473
616,0.0082243,616,0.24722
617,0.0081977,617,0.24724
618,0.0082435,618,0.24735
619,0.0082851,619,0.24751
620,0.008272,620,0.24779
621,0.0082401,621,0.24836
622,0.0082322,622,0.24901
623,0.0082548,623,0.24978
624,0.0082789,624,0.25083
625,0.0081953,625,0.25215
626,0.0083143,626,0.2537
627,0.0082875,627,0.25556
628,0.0082843,628,0.25757
629,0.008305,629,0.25995
630,0.0084141,630,0.2626
631,0.0084471,631,0.26555
632,0.0084321,632,0.26893
633,0.0085273,633,0.27258
634,0.0085805,634,0.27651
635,0.0085955,635,0.28058
636,0.0085766,636,0.28512
637,0.0086396,637,0.28977
638,0.0086963,638,0.29449
639,0.0086716,639,0.2994
640,0.0088452,640,0.30423
641,0.0090142,641,0.30906
642,0.0090477,642,0.31371
643,0.0090526,643,0.31797
644,0.009145,644,0.32177
645,0.0092491,645,0.32523
646,0.0091738,646,0.32787
647,0.0092034,647,0.33
648,0.0094276,648,0.33146
649,0.0093705,649,0.33237
650,0.0092541,650,0.33259
651,0.0093123,651,0.33229
652,0.0094327,652,0.33146
653,0.0094966,653,0.33009
654,0.0095309,654,0.32838
655,0.0095743,655,0.32629
656,0.0095794,656,0.32401
657,0.0095568,657,0.32145
658,0.0093463,658,0.31897
659,0.0094718,659,0.31629
660,0.0095365,660,0.31378
661,0.0094343,661,0.31125
662,0.0093609,662,0.30882
663,0.0093712,663,0.30655
664,0.0093989,664,0.30447
665,0.0093774,665,0.30247
666,0.0093328,666,0.30054
667,0.0093358,667,0.29882
668,0.0092974,668,0.29716
669,0.0090872,669,0.29583
670,0.0090314,670,0.29459
671,0.0090769,671,0.29347
672,0.0090457,672,0.29237
673,0.0088999,673,0.29136
674,0.0088433,674,0.29013
675,0.008937,675,0.28909
676,0.0089475,676,0.28783
677,0.0088148,677,0.28643
678,0.0088139,678,0.2849
679,0.0086506,679,0.28339
680,0.0088335,680,0.28154
681,0.0087141,681,0.27977
682,0.008744,682,0.27797
683,0.0087744,683,0.27621
684,0.0086547,684,0.27455
685,0.0085248,685,0.273
686,0.0085454,686,0.27158
687,0.0086697,687,0.2701
688,0.0087182,688,0.26901
689,0.0086317,689,0.26798
690,0.0085487,690,0.26686
691,0.0084896,691,0.26604
692,0.0084407,692,0.26501
693,0.0084944,693,0.26418
694,0.0085634,694,0.2635
695,0.0084719,695,0.26272
696,0.0084295,696,0.26227
697,0.0084718,697,0.26184
698,0.0084807,698,0.2617
699,0.0084566,699,0.26169
700,0.0084819,700,0.2618
701,0.0084484,701,0.26227
702,0.0082824,702,0.263
703,0.0084573,703,0.26412
704,0.0083853,704,0.26539
705,0.0083577,705,0.2672
706,0.0083561,706,0.26933
707,0.0084124,707,0.27159
708,0.0084742,708,0.27435
709,0.0084841,709,0.27756
710,0.00849,710,0.28101
711,0.0085355,711,0.28492
712,0.0084925,712,0.28903
713,0.0085697,713,0.29333
714,0.0085895,714,0.29797
715,0.0085367,715,0.30244
716,0.0085813,716,0.30696
717,0.0086856,717,0.31143
718,0.0087911,718,0.31551
719,0.0087975,719,0.31919
720,0.0088174,720,0.32226
721,0.0089213,721,0.32496
722,0.0088648,722,0.32674
723,0.0088414,723,0.32792
724,0.0088814,724,0.32839
725,0.0088925,725,0.32813
726,0.0090532,726,0.32728
727,0.00916,727,0.32603
728,0.0092433,728,0.32418
729,0.0092794,729,0.32221
730,0.0092042,730,0.32001
731,0.009108,731,0.31737
732,0.0091553,732,0.31462
733,0.00929,733,0.31206
734,0.0092608,734,0.30923
735,0.0090427,735,0.30633
736,0.0092013,736,0.30316
737,0.0091239,737,0.30014
738,0.0091998,738,0.29697
739,0.0090924,739,0.29356
740,0.0089859,740,0.29023
741,0.0089796,741,0.28692
742,0.009014,742,0.28328
743,0.0089635,743,0.27994
744,0.0087583,744,0.27662
745,0.0087924,745,0.27325
746,0.0086364,746,0.26996
747,0.0086595,747,0.26685
748,0.0086907,748,0.26385
749,0.008636,749,0.26091
750,0.0085745,750,0.25806
751,0.0085145,751,0.25518
752,0.0084576,752,0.25268
753,0.0084143,753,0.25017
754,0.008372,754,0.24789
755,0.0082992,755,0.24567
756,0.0082133,756,0.24343
757,0.0082778,757,0.24134
758,0.0084064,758,0.23957
759,0.0081627,759,0.23776
760,0.0079605,760,0.23584
761,0.0080985,761,0.23428
762,0.0081336,762,0.23282
763,0.0080092,763,0.23125
764,0.00786,764,0.22983
765,0.0077976,765,0.22845
766,0.007993,766,0.22726
767,0.008032,767,0.22611
768,0.007774,768,0.22478
769,0.0076983,769,0.22384
770,0.0077861,770,0.22295
771,0.007709,771,0.22198
772,0.0075963,772,0.22107
